experiment_index,experiment_file,experiment_id,linked_claim,evidence_bucket,role,synthetic_or_real,supports_or_weakens,usable_for_report
1,viruse_fabric/experiments/exp_01_projection.py,exp_01_projection,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
23,viruse_fabric/experiments/exp_112_controlled_formal_definition_completion_attempt_execution.py,exp_112_controlled_formal_definition_completion_attempt_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
24,viruse_fabric/experiments/exp_113_controlled_formal_definition_completion_approval_plan.py,exp_113_controlled_formal_definition_completion_approval_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
25,viruse_fabric/experiments/exp_114_controlled_formal_definition_completion_approval_decision_plan.py,exp_114_controlled_formal_definition_completion_approval_decision_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
26,viruse_fabric/experiments/exp_115_controlled_formal_definition_completion_approval_decision_execution.py,exp_115_controlled_formal_definition_completion_approval_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
27,viruse_fabric/experiments/exp_116_controlled_formal_definition_completion_approval_execution_plan.py,exp_116_controlled_formal_definition_completion_approval_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
28,viruse_fabric/experiments/exp_117_controlled_formal_definition_completion_approval_execution_readiness_audit.py,exp_117_controlled_formal_definition_completion_approval_execution_readiness_audit,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
29,viruse_fabric/experiments/exp_118_controlled_formal_definition_completion_approval_execution_transition_decision_plan.py,exp_118_controlled_formal_definition_completion_approval_execution_transition_decision_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
30,viruse_fabric/experiments/exp_119_controlled_formal_definition_completion_approval_execution_transition_decision_execution.py,exp_119_controlled_formal_definition_completion_approval_execution_transition_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
31,viruse_fabric/experiments/exp_11_attractor_classifier.py,exp_11_attractor_classifier,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
32,viruse_fabric/experiments/exp_120_controlled_formal_definition_completion_approval_execution_preflight_plan.py,exp_120_controlled_formal_definition_completion_approval_execution_preflight_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
33,viruse_fabric/experiments/exp_121_controlled_formal_definition_completion_approval_execution_preflight_execution.py,exp_121_controlled_formal_definition_completion_approval_execution_preflight_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
34,viruse_fabric/experiments/exp_122_controlled_formal_definition_completion_approval_execution_preflight_decision_plan.py,exp_122_controlled_formal_definition_completion_approval_execution_preflight_decision_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
35,viruse_fabric/experiments/exp_123_controlled_formal_definition_completion_approval_execution_preflight_decision_execution.py,exp_123_controlled_formal_definition_completion_approval_execution_preflight_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
36,viruse_fabric/experiments/exp_124_controlled_formal_definition_completion_approval_execution_preflight_approval_plan.py,exp_124_controlled_formal_definition_completion_approval_execution_preflight_approval_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
37,viruse_fabric/experiments/exp_125_controlled_formal_definition_completion_approval_execution_preflight_approval_execution.py,exp_125_controlled_formal_definition_completion_approval_execution_preflight_approval_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
38,viruse_fabric/experiments/exp_126_controlled_formal_definition_completion_approval_execution_gate_plan.py,exp_126_controlled_formal_definition_completion_approval_execution_gate_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
39,viruse_fabric/experiments/exp_127_controlled_formal_definition_completion_approval_execution_gate_execution.py,exp_127_controlled_formal_definition_completion_approval_execution_gate_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
40,viruse_fabric/experiments/exp_128_controlled_formal_definition_completion_approval_execution_authorization_plan.py,exp_128_controlled_formal_definition_completion_approval_execution_authorization_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
41,viruse_fabric/experiments/exp_129_controlled_formal_definition_completion_approval_execution_authorization_execution.py,exp_129_controlled_formal_definition_completion_approval_execution_authorization_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
42,viruse_fabric/experiments/exp_12_apparent_targeting_index.py,exp_12_apparent_targeting_index,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
43,viruse_fabric/experiments/exp_130_formal_proof_track_entry_and_proof_obligation_plan.py,exp_130_formal_proof_track_entry_and_proof_obligation_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
44,viruse_fabric/experiments/exp_131_proof_obligation_registry_execution.py,exp_131_proof_obligation_registry_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
45,viruse_fabric/experiments/exp_132_formal_definition_candidate_registry.py,exp_132_formal_definition_candidate_registry,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
46,viruse_fabric/experiments/exp_133_theorem_and_lemma_skeleton_plan.py,exp_133_theorem_and_lemma_skeleton_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
47,viruse_fabric/experiments/exp_134_proof_strategy_plan.py,exp_134_proof_strategy_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
48,viruse_fabric/experiments/exp_135_proof_environment_selection_and_first_proof_attempt_plan.py,exp_135_proof_environment_selection_and_first_proof_attempt_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
49,viruse_fabric/experiments/exp_136_first_manual_proof_attempt_execution.py,exp_136_first_manual_proof_attempt_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
50,viruse_fabric/experiments/exp_137_manual_proof_attempt_gap_audit.py,exp_137_manual_proof_attempt_gap_audit,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
51,viruse_fabric/experiments/exp_138_formal_definition_completion_targeting_plan.py,exp_138_formal_definition_completion_targeting_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
52,viruse_fabric/experiments/exp_139_formal_definition_completion_execution_authorization_plan.py,exp_139_formal_definition_completion_execution_authorization_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
53,viruse_fabric/experiments/exp_13_viral_scenario_layer.py,exp_13_viral_scenario_layer,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
54,viruse_fabric/experiments/exp_140_formal_definition_completion_execution_authorization.py,exp_140_formal_definition_completion_execution_authorization,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
55,viruse_fabric/experiments/exp_141_first_controlled_formal_definition_drafting_execution.py,exp_141_first_controlled_formal_definition_drafting_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
56,viruse_fabric/experiments/exp_142_drafted_formal_definition_boundary_audit.py,exp_142_drafted_formal_definition_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
57,viruse_fabric/experiments/exp_143_draft_boundary_resolution_targeting_plan.py,exp_143_draft_boundary_resolution_targeting_plan,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
58,viruse_fabric/experiments/exp_144_draft_boundary_resolution_authorization_plan.py,exp_144_draft_boundary_resolution_authorization_plan,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
59,viruse_fabric/experiments/exp_145_first_minimal_formal_lemma_proof_execution.py,exp_145_first_minimal_formal_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
60,viruse_fabric/experiments/exp_146_minimal_path_lemma_dependency_expansion.py,exp_146_minimal_path_lemma_dependency_expansion,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
61,viruse_fabric/experiments/exp_147_first_path_kernel_theorem_attempt.py,exp_147_first_path_kernel_theorem_attempt,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
62,viruse_fabric/experiments/exp_148_path_kernel_theorem_proof_boundary_audit.py,exp_148_path_kernel_theorem_proof_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
63,viruse_fabric/experiments/exp_149_second_path_kernel_theorem_attempt.py,exp_149_second_path_kernel_theorem_attempt,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
64,viruse_fabric/experiments/exp_14_scenario_auditor.py,exp_14_scenario_auditor,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
65,viruse_fabric/experiments/exp_150_limited_theorem_pair_boundary_audit.py,exp_150_limited_theorem_pair_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
66,viruse_fabric/experiments/exp_151_reachability_preorder_theorem_attempt.py,exp_151_reachability_preorder_theorem_attempt,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
67,viruse_fabric/experiments/exp_152_mutual_reachability_equivalence_theorem_attempt.py,exp_152_mutual_reachability_equivalence_theorem_attempt,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
68,viruse_fabric/experiments/exp_153_equivalence_class_quotient_structure_theorem_attempt.py,exp_153_equivalence_class_quotient_structure_theorem_attempt,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
69,viruse_fabric/experiments/exp_154_path_kernel_theorem_stack_boundary_audit.py,exp_154_path_kernel_theorem_stack_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
70,viruse_fabric/experiments/exp_155_attractor_class_bridge_authorization_plan.py,exp_155_attractor_class_bridge_authorization_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
71,viruse_fabric/experiments/exp_156_attractor_class_bridge_execution.py,exp_156_attractor_class_bridge_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
72,viruse_fabric/experiments/exp_157_attractor_class_scaffold_boundary_audit.py,exp_157_attractor_class_scaffold_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
73,viruse_fabric/experiments/exp_158_stabilization_predicate_definition_plan.py,exp_158_stabilization_predicate_definition_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
74,viruse_fabric/experiments/exp_159_stabilization_predicate_controlled_definition_execution.py,exp_159_stabilization_predicate_controlled_definition_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
75,viruse_fabric/experiments/exp_15_observer_misreading.py,exp_15_observer_misreading,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
76,viruse_fabric/experiments/exp_160_stabilization_predicate_draft_boundary_audit.py,exp_160_stabilization_predicate_draft_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
77,viruse_fabric/experiments/exp_161_stabilization_predicate_completion_criteria_plan.py,exp_161_stabilization_predicate_completion_criteria_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
78,viruse_fabric/experiments/exp_162_stabilization_predicate_completion_criteria_boundary_audit.py,exp_162_stabilization_predicate_completion_criteria_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
79,viruse_fabric/experiments/exp_163_stabilization_predicate_completion_decision_plan.py,exp_163_stabilization_predicate_completion_decision_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
80,viruse_fabric/experiments/exp_164_stabilization_predicate_completion_decision_plan_boundary_audit.py,exp_164_stabilization_predicate_completion_decision_plan_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
81,viruse_fabric/experiments/exp_165_stabilization_predicate_completion_decision_execution.py,exp_165_stabilization_predicate_completion_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
82,viruse_fabric/experiments/exp_166_stabilization_predicate_conditional_hold_gap_register.py,exp_166_stabilization_predicate_conditional_hold_gap_register,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
83,viruse_fabric/experiments/exp_167_stabilization_predicate_conditional_hold_gap_register_boundary_audit.py,exp_167_stabilization_predicate_conditional_hold_gap_register_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
84,viruse_fabric/experiments/exp_168_stabilization_predicate_carrier_domain_exactness_evidence_execution.py,exp_168_stabilization_predicate_carrier_domain_exactness_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
85,viruse_fabric/experiments/exp_169_carrier_domain_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_169_carrier_domain_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
86,viruse_fabric/experiments/exp_16_intention_correction.py,exp_16_intention_correction,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
87,viruse_fabric/experiments/exp_170_local_persistence_testability_evidence_execution.py,exp_170_local_persistence_testability_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
88,viruse_fabric/experiments/exp_171_local_persistence_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_171_local_persistence_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
89,viruse_fabric/experiments/exp_172_recurrence_witness_evidence_execution.py,exp_172_recurrence_witness_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
90,viruse_fabric/experiments/exp_173_recurrence_witness_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_173_recurrence_witness_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
91,viruse_fabric/experiments/exp_174_exclusion_and_failure_condition_evidence_execution.py,exp_174_exclusion_and_failure_condition_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
92,viruse_fabric/experiments/exp_175_exclusion_and_failure_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_175_exclusion_and_failure_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
93,viruse_fabric/experiments/exp_176_minimal_adequacy_condition_evidence_execution.py,exp_176_minimal_adequacy_condition_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
94,viruse_fabric/experiments/exp_177_minimal_adequacy_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_177_minimal_adequacy_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
95,viruse_fabric/experiments/exp_178_residual_ambiguity_condition_evidence_execution.py,exp_178_residual_ambiguity_condition_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
96,viruse_fabric/experiments/exp_179_residual_ambiguity_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_179_residual_ambiguity_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
97,viruse_fabric/experiments/exp_17_theory_chapter_exporter.py,exp_17_theory_chapter_exporter,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
